sha,author,date,message
9c5686cbb700fb7c1443aee81592096f3c61b944,mrugesh mohapatra,2018-09-27T10:34:56Z,docs: update status of the project
05c70f8e0e7598612ca1db6ed8e0f70b90dc603e,Bouncey,2018-09-27T09:34:14Z,fix(challenge-md): Use a package to parse yml string
7f63dc067f98b68faaca8c5d683504fa20fb1bab,Bouncey,2018-09-27T09:33:43Z,feat(challenge-md): Add  parser
07059be70d812a139bdbd905c30ee269be487c9d,Bouncey,2018-09-27T08:52:19Z,feat(challeng-md): Create plugin to parse description/instructions
6865191821a5fb8d5f6497970d3cb2111b97397c,Bouncey,2018-09-26T12:19:01Z,feat(migration): Add initial challenge md paser
056344e4ae2a440e210ca4f2032021eaa93d2b86,Kris Koishigawa,2018-08-23T06:42:44Z,"fix(challenges): Rosetta Code test errors and formatting

Made a number of formatting changes to the challenge descriptions, and updated a number of the tests which were failing. More detail in https://github.com/freeCodeCamp/curriculum/issues/277.

ISSUES CLOSED: #277"
52728627339fc6f80331f4d71addf870b3a689c0,Jonathan Grah,2018-09-23T20:06:03Z,fix(challenges): add href of # for links
754d4a6db74992c6d3a81c7ec3bfab49db776498,mul53,2018-09-26T03:18:36Z,fix(challenges): changed description in basic css lesson (#315)
d74fc3e301be8423c2313ade083625137b2d9c72,CamperBot,2018-09-25T15:17:11Z,"chore(release): 3.2.1 [skip ci]

## [3.2.1](https://github.com/freeCodeCamp/curriculum/compare/v3.2.0...v3.2.1) (2018-09-25)

### Bug Fixes

* Add videoUrl field ([#298](https://github.com/freeCodeCamp/curriculum/issues/298)) ([ce3cc22](https://github.com/freeCodeCamp/curriculum/commit/ce3cc22))"
ce3cc228906f3704e000ac3e08dee76ce87c96d3,Beau Carnes,2018-09-25T15:12:03Z,"fix: Add videoUrl field (#298)

Add vidoeUrl to responsive web design challenges."
