sha,author,date,message
31f8e7553b0f01bc3e18fd0826533e619ecb0ade,Sam Maddock,2024-10-31T01:29:01Z,"fix: flaky utility and BrowserView tests (#44451)

* fix: flake wait for crash with specific serviceName

* fix: flake when unrelated WebContents exists during BrowserView tests

* fix: wait for crash before forking

* use name"
7cdf1a01b800f6270c1fce1b7b45522e0e0ed79b,Charles Kerr,2024-10-30T19:56:10Z,"docs: fix win.setContentView() arg type (#44478)

fix: setContentView type"
a720c8daf6a294871be6b8818150d57979f88b40,Charles Kerr,2024-10-30T04:25:40Z,perf: remove isolate scope from DidProcessTask() (#44439)
fb959f8d30ad015c997ee999ddbe9a77e86acb29,Charles Kerr,2024-10-29T22:28:34Z,build: enable -Wunsafe-buffer-usage warnings (#44056)
de04fc3b902405491939045161743f22e9fbb712,Alice Zhao,2024-10-29T22:10:10Z,"fix: update shell.openExternal to correctly focus on external window (#44408)

* fix: Use openURL:configuration:completionHandler instead of openUrl

* test: add a test

* fix: add dispatch_async to replace GetUIThreadTaskRunner

* refactor: remove unused import

* fix: update to use BindPostTaskToCurrentDefault

* test: add regression test for window focus

* refactor: update to explicit task runner"
7ff7160135e52f419f05cfbaf0b6be5cb36f4221,Shelley Vohr,2024-10-29T20:41:44Z,"docs: fix `win.getContentView(`) return type (#44430)

docs: fix win.getContentView() return type"
9fc94a162bed056daea0324ca878f33061484cb0,Shelley Vohr,2024-10-29T15:35:57Z,"build: fix python util verbose mode logic (#44431)

build: fix verbose mode logic"
53458da01ef239a16fb9de80ccc04fc07a040ffa,Devin Binnie,2024-10-29T15:16:29Z,"docs: Fix `powerMonitor` docs for type generation of `speed-limit-change` (#44391)

Fix `powerMonitor` docs for type generation of `speed-limit-change`"
dffe00b232010811f37f07d509c0f3a00d9f119e,Charles Kerr,2024-10-29T12:23:08Z,"fix: -Wunsafe-buffer-usage warnings with argc, argv (#44366)

* refactor: move uv_setup_args() calls to startup

* refactor: call base::CommandLine::Init() before ContentMain()

* feat: add ElectronCommandLine::AsUtf8()

* refactor: call base::CommandLine::Init() before NodeMain()

* refactor: use ElectronCommandLine::AsUtf8() in NodeMain()

* fix: -Wunsafe-buffer-usage warning in ElectronCommandLine::Init()

* chore: add a DCHECK to confirm ElectronCommandLine was initialized before AsUtf8() is called

* chore: const correctness in ElectronCommandLine::Init() args

* chore: add ElectronCommandLine to macOS Electron Helper app

* chore: move argc, argvc setup into electron_library_main on macOS

* chore: revert BUILD.gn changes

* fix: WideToUTF8() call in ElectronCommandLine::AsUtf8()

* build: add uv to the include paths for app/electron_main_linux

* build: add uv to the include paths for app/electron_library_main.mm

* chore: revert unrelated changes

these were intended for another branch"
39b24aed923a98559181ae6e0a64cda7c2cd91e7,Shelley Vohr,2024-10-29T12:22:26Z,"refactor: move node ofs script to electron (#44425)

* refactor: move node ofs script to electron

* chore: remove empty file"
