sha,author,date,message
492debff7c3eb697594a516ab36bed96c94a8cc1,Uiolee,2024-10-14T01:40:31Z,chore(deps-dev): bump @types/node to ^20.16.10 (#5558)
439ee6d19ead7973048b61f896437c30803cf17a,Uiolee,2024-07-01T14:31:56Z,release: 7.3.0 (#5506)
c321bb623507cd2f9cb3a3c8f07dcc09bf6c86cf,KentarouTakeda,2024-07-01T14:31:26Z,"feat(helper/toc): specify maximum number of items to output (#5487)

* feat(helper/toc): specify maximum number of items to output

* perf: skip evaluation if `max_items` is not specified

* perf: streamline getting min and max heading level

---------

Co-authored-by: Uiolee <22849383+uiolee@users.noreply.github.com>
Co-authored-by: yoshinorin <yoshinorin.net@outlook.com>"
a3f27b85f19db17e7a6c395c3979659b627d20b2,Uiolee,2024-06-28T02:30:15Z,"build: upgrade ecmascript version (#5507)

* build: upgrade ecmascript version

* ci: adjust conditions of check"
5ccd66ea74d175f1bdc85d26d0d0ce1dc00fa97d,Mimi,2024-05-21T03:32:26Z,"Revert ""refactor: backslashes on Windows (#5457)"" (#5481)

This reverts commit 80dafe2ab62f229e03d6af95c7e6a3abb5f257ab."
069ac3827411c1f26d97caca962a175db9a2d7cc,Uiolee,2024-05-17T09:07:53Z,"feat: add option to use slug as title of post (#5470)


Signed-off-by: Uiolee <22849383+uiolee@users.noreply.github.com>
Co-authored-by: Sukka <isukkaw@gmail.com>"
6d880a263d2ce066d8c2e8b1fc39bb3c542b48df,Uiolee,2024-05-17T09:07:16Z,"feat(renderScaffold): deepMerge frontMatter of post and scaffold (#5472)

* feat(renderScaffold): deepMerge frontMatter of post and scaffold

* test: add test case"
22e81e45bbe26e8f6743fa25b44283842a3065aa,D-Sketon,2024-04-29T07:57:10Z,"revert: ""test: add test case for issue #4334"" (#5475)"
cc8c520260e5722464dbe9bbb584bb5ee5bbd4a7,yoshinorin,2024-04-23T12:03:44Z,perf(processor/post): improve processing speed when `config.post_asset_folder` is enabled (#5473)
093dc2d1c92dd7fdea74bb1ccc2208556316e2a6,Uiolee,2024-04-19T15:13:29Z,"ci(comment): fix wrong condition (#5471)

fix the error which is introduced by #5454"
90b107c8b0bd8b386f64463403391f67eb1b2535,Uiolee,2024-04-17T10:27:32Z,release: 7.2.0 (#5453)
4fec0e0991c95fa6eceb953401291d36e77cb3ec,D-Sketon,2024-04-16T16:05:45Z,test: add test case for issue #4334 (#5465)
43fcce3344dcab11fe8440cd0b7b4932f44c3c54,Uiolee,2024-04-16T15:59:32Z,ci: suppress comment err and reduce benchmark running (#5454)
b5b63caee27256d71a0cee8954c22375ec885d07,Mimi,2024-04-16T15:58:46Z,"fix(tag/include_code): prevent path traversal (#5251)


Co-authored-by: uiolee <22849383+uiolee@users.noreply.github.com>
Co-authored-by: yoshinorin <yoshinorin.net@outlook.com>"
cefee921153ba597316457f4fedf7b87b6516917,D-Sketon,2024-04-16T13:23:33Z,chore(deps): bump hexo-fs from ^4.1.1 to ^4.1.3 (#5463)
b6ebbcaa6cc65a2722d917570676fd00addb607e,Uiolee,2024-04-14T02:37:31Z,"fix(categories,tags): revert behavior of locals.tags and locals.categories (#5388)"
80dafe2ab62f229e03d6af95c7e6a3abb5f257ab,Mimi,2024-04-09T12:16:51Z,refactor: backslashes on Windows (#5457)
94f6ad3c91f59a605338827bf08a610c305f3da1,Mimi,2024-04-09T08:00:51Z,"fix(tag): use url_for (#5385)

Co-authored-by: Uiolee <22849383+uiolee@users.noreply.github.com>"
d7ad401aa21d11d2a5386ca47f2b7b9d01c4cce9,Uiolee,2024-04-06T02:22:48Z,"feat(highlight): add an option to switch stripIndent (#5427)


Co-authored-by: yoshinorin <yoshinorin.net@outlook.com>"
a3b963824273206f8663b5eafbaf13699b6ad08f,D-Sketon,2024-03-30T11:31:52Z,"refactor: migrate typescript (#5430)

* chore: remove unused test entry file

* refactor: migrate ts"
3c7729dbb6f758564ac1853222541ec52087c9e3,D-Sketon,2024-03-03T08:04:55Z,refactor: migrate typescript (#5417)
7ef26adcae37b39ffc9c9f7dad37943a47715e20,choi sung ki,2024-02-21T16:20:21Z,fix(tag/post_link): support url with subdir (#5419)
6cf699363ae74e0d7d072375f70717e8689624a7,mobeicanyue,2024-02-21T16:17:32Z,test: fix typos (#5426)
6bf9e6c2454f8852e8350fefc1b10666eee9a12c,Dimas Lanjaka,2024-02-20T07:28:19Z,chore: make callback on exit optional (#5421)
bc53720dd9fa7e11cc3b34c67fe95692aa085e28,Uiolee,2024-02-13T13:20:47Z,"docs(README): Update Sponsors images (#5410)

* Update README.md

* fix typo"
1b569a8f2da36dda78fe63477dc9d373b77dc818,Uiolee,2024-01-29T05:54:09Z,chore(deps-dev): Limited `@types/node` version (#5411)
ee4bc8e76e8a2be16eb2469bc9cc1edf6ec32fa5,D-Sketon,2024-01-23T05:57:14Z,refactor: refactor types (#5398)
bb489cb303c4b4b2a76873e96ee3d9f38931a084,Uiolee,2024-01-22T11:12:22Z,release: 7.1.1 (#5405)
b6de85acf5fac33a86ee89bd488b473316be5958,Uiolee,2024-01-22T05:20:25Z,fix(escapeTags): escape tag which includes line break (#5402)
e67c1f14556e987340a32aed1e6cb59785859e92,yoshinorin,2024-01-19T14:35:36Z,chore: use `prepublishOnly` instead of `prepublish` and run `npm install` in `prepublishOnly` script (#5399)
