sha,author,date,message
c45aa1006757031937e00c43b3de3357add80c3d,Matteo Vivona,2022-02-12T15:17:24Z,"Merge pull request #2867 from HospitalRun/dependabot/npm_and_yarn/commitlint/core-16.0.0

chore(deps-dev): bump @commitlint/core from 15.0.0 to 16.0.0"
52d66e5c6c8c1568e9aa207d22c8ab2b4806578b,HospitalRun Bot,2022-02-12T15:13:34Z,Merge branch 'master' into dependabot/npm_and_yarn/commitlint/core-16.0.0
5694087b0b952b594fe4188dae2100b244631fe8,Matteo Vivona,2022-02-12T15:13:08Z,Merge branch 'master' into dependabot/npm_and_yarn/commitlint/core-16.0.0
fe741e4b020248bc1ca4606a5d4b043475376128,Matteo Vivona,2022-02-12T15:12:19Z,"Merge pull request #2882 from HospitalRun/dependabot/npm_and_yarn/lint-staged-12.3.3

chore(deps-dev): bump lint-staged from 12.1.7 to 12.3.3"
230f6e476d6adc4ec3a70e1664f860aae9a02307,HospitalRun Bot,2022-02-12T15:12:08Z,Merge branch 'master' into dependabot/npm_and_yarn/lint-staged-12.3.3
1128460485c67d96c924ddf8eaabbe24ab1a8a9a,HospitalRun Bot,2022-02-12T15:11:55Z,Merge branch 'master' into dependabot/npm_and_yarn/lint-staged-12.3.3
32bd999c6b8defa3f537c8ca44b8c1da98733174,Matteo Vivona,2022-02-12T15:11:51Z,Merge branch 'master' into dependabot/npm_and_yarn/lint-staged-12.3.3
8fea1d4521e66f82ecaf68178322bacb8f056354,Matteo Vivona,2022-02-12T15:11:45Z,"Merge pull request #2883 from HospitalRun/dependabot/npm_and_yarn/eslint-plugin-jest-26.1.0

chore(deps-dev): bump eslint-plugin-jest from 25.3.4 to 26.1.0"
f4b9c3d4e14a2d697e74dc992bc56230c434a9dc,Matteo Vivona,2022-02-12T15:11:39Z,Merge branch 'master' into dependabot/npm_and_yarn/eslint-plugin-jest-26.1.0
e15844d5ebf31b148b2cced73941cd44ea67ccda,Matteo Vivona,2022-02-12T15:11:32Z,"Merge pull request #2876 from HospitalRun/dependabot/npm_and_yarn/commitlint/cli-16.1.0

chore(deps-dev): bump @commitlint/cli from 16.0.3 to 16.1.0"
0419e8a36daa5775e58740278cc728825e1ebe09,HospitalRun Bot,2022-02-12T13:34:46Z,Merge branch 'master' into dependabot/npm_and_yarn/lint-staged-12.3.3
b7826676daee289267b0fe9cb44468e7db0d720c,HospitalRun Bot,2022-02-12T13:34:46Z,Merge branch 'master' into dependabot/npm_and_yarn/eslint-plugin-jest-26.1.0
3762fbf4a7b2e2db028632921d6439cff5d70bfb,HospitalRun Bot,2022-02-12T13:34:46Z,Merge branch 'master' into dependabot/npm_and_yarn/commitlint/cli-16.1.0
746e8d778c8a24dce0bc7eabbd1d65eed91c35da,HospitalRun Bot,2022-02-12T13:34:41Z,Merge branch 'master' into dependabot/npm_and_yarn/lint-staged-12.3.3
d5b4fa201dff88317a4b2bc7e4741a2340b1ad1d,HospitalRun Bot,2022-02-12T13:34:41Z,Merge branch 'master' into dependabot/npm_and_yarn/commitlint/cli-16.1.0
974c83ab4b342302569254542c34863f72626112,HospitalRun Bot,2022-02-12T13:34:40Z,Merge branch 'master' into dependabot/npm_and_yarn/eslint-plugin-jest-26.1.0
26e3ea6e688f4773dbf215fb931fa9a07c88f799,Matteo Vivona,2022-02-12T13:34:24Z,Delete auto-merge.yml
45bec387f9672f14bcdc284207d6dd29e07ae155,Matteo Vivona,2022-02-12T13:34:13Z,"Merge pull request #2875 from HospitalRun/dependabot/npm_and_yarn/commitlint/prompt-16.1.0

chore(deps-dev): bump @commitlint/prompt from 16.0.0 to 16.1.0"
1bbdbb99b195e0b3f776d5b5932bfec38e675293,dependabot[bot],2022-02-07T08:01:28Z,"chore(deps-dev): bump eslint-plugin-jest from 25.3.4 to 26.1.0

Bumps [eslint-plugin-jest](https://github.com/jest-community/eslint-plugin-jest) from 25.3.4 to 26.1.0.
- [Release notes](https://github.com/jest-community/eslint-plugin-jest/releases)
- [Changelog](https://github.com/jest-community/eslint-plugin-jest/blob/main/CHANGELOG.md)
- [Commits](https://github.com/jest-community/eslint-plugin-jest/compare/v25.3.4...v26.1.0)

---
updated-dependencies:
- dependency-name: eslint-plugin-jest
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>"
