sha,author,date,message
7b4965f6b2a41ecde64b75e4389fe5608a29050c,Jaya Allamsetty,2024-10-30T21:36:30Z,"chore(deps) lib-jitsi-meet@latest

https://github.com/jitsi/lib-jitsi-meet/compare/v1882.0.0+d51e5575...v1883.0.0+9eefac11"
d78b980b353c3e8dfd6160ca4d4a9761766047b2,Saúl Ibarra Corretgé,2024-10-30T16:17:56Z,fix(android) fix bundle script path
103d1d9f3506c9a59680770f67b4daf4253f4b88,Saúl Ibarra Corretgé,2024-10-30T15:26:00Z,fix(android) fix making production bundles
6d3330a20802fbe62b8677de123a3eef9d3b98e0,Saúl Ibarra Corretgé,2024-10-30T13:30:22Z,"feat(lib-jitsi-meet) log UA string too

This way we can know from the logs what we are working with."
771f5af59dfac6f5f3504113e74abe83bc104c39,Saúl Ibarra Corretgé,2024-10-30T13:27:47Z,"feat(rn) improve UA string

Add SDK version in addition to OS and RN versions.

Example: ""JitsiMeetSDK/0.0.0 (android/34) react-native/0.75.4"""
2c968809854b6fe07a131d6381c4a6715a0a6bec,Saúl Ibarra Corretgé,2024-10-30T13:02:56Z,fix(android) add SDK version information
3fb968b3cbc701838f5a8cce84a9a84e530839ce,Saúl Ibarra Corretgé,2024-10-30T13:11:09Z,"feat(rn,screen-sharing) allow sharing the screen and camera on mobile (#15236)

* feat(rn,screen-sharing) allow sharing the screen and camera on mobile

With the advancements in layer suspension it should now be ok to do.
Users can still mute the camera themselves if they so desire.

Having the camera enabled while in the background is a separate effort."
b2059060fc601945662bc92040014b296c70540c,Saúl Ibarra Corretgé,2024-10-30T11:37:12Z,"fix(rn,android) fix build for RN 0.75

It requires Kotlin 1.9. Some modules needed to be updated in order to
gain that compatibility."
6ad2735efb4e70bda0730694a3776c2bb9d19376,Saúl Ibarra Corretgé,2024-10-30T10:56:42Z,"fix(rn,call-integration) use a more reliable event for starting

The will-join event happens before we actually try to join and things
would go wrong, whereas join-in-progress happens when it's guaranteed
that joining will be successful."
e2a933ad9266f08f32ca46a41fe272a89e53b14f,Calin-Teodor,2024-10-30T10:18:22Z,chore(android): update rnVersion
12b682992b7b3bd33e26f3349490393eb505abda,Calinteodor,2024-10-30T07:51:12Z,"chore(appState): default empty string state does not check conditions (#15240)

* feat(mobile/background): force appState status when the app mounts"
4f78dee7086a34725a1a6fcc25059337b50f0625,Jaya Allamsetty,2024-10-29T15:58:48Z,"chore(deps) lib-jitsi-meet@latest

https://github.com/jitsi/lib-jitsi-meet/compare/v1880.0.0+5d53ecdc...v1882.0.0+d51e5575"
7ff78313ffa07c3e90fcecd2132c2b13b9b8b488,Calin-Teodor,2024-10-29T11:05:01Z,dep(react-native): update to 0.75.4
ac182c18f94bf614ab8115ee7709dd749d0ca6d8,Edgars Voroboks,2024-10-29T11:28:21Z,lang: Update Latvian language translation (#15244)
b562176062cb6ebc3e53ec3138d0b17651666513,Saúl Ibarra Corretgé,2024-10-28T11:28:00Z,chore(deps) npm audit fix
437ed46349d3144a1ad6fb78dcfc6db692fb54d9,Saúl Ibarra Corretgé,2024-10-28T13:32:22Z,"fix(e2ee) don't display E2EE verified field until final

It shows all the time otherwise, confusing users who haven't even
enabled it."
